date	ice_m
1961-09-13	0.05
1961-09-16	
1961-09-19	
1961-09-21	0.1
1961-09-22	
1961-09-25	0.15
1961-09-28	
1961-10-01	
1961-10-04	
1961-10-05	0.25
1961-10-07	
1961-10-09	0.3
1961-10-10	
1961-10-13	
1961-10-14	0.4
1961-10-16	
1961-10-19	
1961-10-20	0.5
1961-10-22	
1961-10-25	
1961-10-28	
1961-10-30	0.61
1961-10-31	
1961-11-03	
1961-11-06	
1961-11-09	
1961-11-12	
1961-11-15	
1961-11-16	0.86
1961-11-18	
1961-11-21	
1961-11-24	0.96
1961-11-27	
1961-11-30	
1961-12-03	
1961-12-05	1.12
1961-12-06	
1961-12-09	
1961-12-12	
1961-12-15	
1961-12-18	
1961-12-21	
1961-12-24	
1961-12-27	
1961-12-30	1.37
1962-01-02	
1962-01-05	
1962-01-07	1.39
1962-01-08	
1962-01-11	
1962-01-14	1.39
1962-01-17	
1962-01-20	
1962-01-21	1.46
1962-01-23	
1962-01-26	
1962-01-28	1.57
1962-01-29	
1962-02-01	
1962-02-04	1.59
1962-02-07	
1962-02-10	
1962-02-11	1.72
1962-02-13	
1962-02-16	
1962-02-18	1.72
1962-02-19	
1962-02-22	
1962-02-25	
1962-02-27	1.83
1962-02-28	
1962-03-03	
1962-03-04	1.83
1962-03-06	
1962-03-09	
1962-03-11	1.88
1962-03-12	
1962-03-15	
1962-03-18	1.97
1962-03-21	
1962-03-24	
1962-03-25	1.97
1962-03-27	
1962-03-30	
1962-04-01	1.99
1962-04-02	
1962-04-05	
1962-04-08	1.99
1962-04-11	
1962-04-14	
1962-04-15	1.99
1962-04-17	
1962-04-20	
1962-04-23	
1962-04-26	
1962-04-29	1.99
1962-05-02	
1962-05-05	
1962-05-08	
1962-05-11	
1962-05-14	
1962-05-17	
1962-05-20	
1962-05-23	
1962-05-26	
1962-05-29	
1962-06-01	
1962-06-04	1.99
1962-06-07	
1962-06-10	
1962-06-13	
1962-06-16	0
1962-06-19	
