date	total_si	total_oxy	surface_oxy	deep_oxy	top1_oxy	top24_oxy	bottom46_oxy	inflect
1961-09-10		38.5	9.675	9.6	9.7	19.3	19.2	increase
1961-10-25		36.5	10.3	7.375	10.65	20.2	16.3	increase
1961-11-21	38.6	33	9.575	6.875	10.1	18.3	14.7	increase
1961-12-05		32.9	9.45	7.125	10	18	14.9	increase
1961-12-23	67.2	33.8	9.4	7.75	9.85	18	15.8	increase
1962-01-10	79	31.3	9.275	5.9		17.9	13.4	increase
1962-01-20	85.8	30.3	9.15	5.475		17.6	12.7	increase
1962-01-26	93.4	29.2	8.7	5.5		16.6	12.6	increase
1962-02-08	94.9	28.85	8.55	5.25		16.6	12.25	increase
1962-02-16	101.8	27.9	8.575	4.55		16.9	11	increase
1962-02-21	118.1	27.45	8.65	4.5		16.6	10.85	increase
1962-03-05	98.7	30.95	8.375	6.8		16.5	14.45	increase
1962-03-19	115.3	28.1	7.55	5.9		15	13.1	increase
1962-04-02	124.9	27.6	7.375	5.85		14.7	12.9	increase
1962-04-14	127.8	25.7	7.075	5.25		14.1	11.6	increase
1962-04-30		23.55	6.675	4.8		13.1	10.45	increase
1962-05-07	141.9	23.85	6.9	4.55		13.6	10.25	increase
1962-05-23		22.45	6.725	4.05		13.1	9.35	decrease
1962-06-05	141.3	21.325	6.875	3.65		12.8	8.525	decrease
1962-06-17	103.8	30.34	7.56	7.76		15.08	15.26	decrease
1962-07-18	81							decrease
1962-08-02	40.5							decrease
1962-08-12	37.6							decrease
