date	depth	oxygen_mL
1961-09-10	1	9.7
1961-09-10	2	9.7
1961-09-10	4	9.6
1961-09-10	6	9.6
1961-10-25	1	10.8
1961-10-25	2	10.5
1961-10-25	4	9.7
1961-10-25	6	6.6
1961-11-21	1	10.2
1961-11-21	2	10
1961-11-21	4	8.3
1961-11-21	6	6.4
1961-12-05	1	10.1
1961-12-05	2	9.9
1961-12-05	4	8.1
1961-12-05	6	6.8
1961-12-23	1	9.9
1961-12-23	2	9.8
1961-12-23	4	8.2
1961-12-23	6	7.6
1962-01-10	2	9.6
1962-01-10	4	8.3
1962-01-10	6	5.1
1962-01-20	2	9.5
1962-01-20	4	8.1
1962-01-20	6	4.6
1962-01-26	2	9.1
1962-01-26	4	7.5
1962-01-26	5	6.7
1962-01-26	6	4.3
1962-02-08	2	8.8
1962-02-08	4	7.8
1962-02-08	5	6.2
1962-02-08	6	4.3
1962-02-16	2	8.7
1962-02-16	4	8.2
1962-02-16	5	4.7
1962-02-16	6	4.4
1962-02-21	2	9
1962-02-21	4	7.6
1962-02-21	5	5.1
1962-02-21	6	3.9
1962-03-05	2	8.5
1962-03-05	4	8
1962-03-05	5	7.3
1962-03-05	6	6.3
1962-03-19	2	7.6
1962-03-19	4	7.4
1962-03-19	5	7
1962-03-19	6	4.8
1962-04-02	2	7.4
1962-04-02	4	7.3
1962-04-02	5	6.8
1962-04-02	6	4.9
1962-04-14	2	7.1
1962-04-14	4	7
1962-04-14	5	5.7
1962-04-14	6	4.8
1962-04-30	2	6.8
1962-04-30	4	6.3
1962-04-30	5	5
1962-04-30	6	4.6
1962-05-07	2	7
1962-05-07	4	6.6
1962-05-07	5	4.8
1962-05-07	6	4.3
1962-05-23	2	6.9
1962-05-23	4	6.2
1962-05-23	5	4.4
1962-05-23	6	3.7
1962-06-05	2	7.35
1962-06-05	4	5.45
1962-06-05	5	4.3
1962-06-05	6	3
1962-06-17	2	7.58
1962-06-17	4	7.5
1962-06-17	5	7.5
1962-06-17	6	8.02
