date	depth	silica_uM
1961-11-21	1	6.5
1961-11-21	2	6.5
1961-11-21	4	9.5
1961-11-21	6	13.1
1961-12-23	1	14
1961-12-23	2	14
1961-12-23	4	15.5
1961-12-23	6	22.2
1962-01-10	2	15.1
1962-01-10	4	16.8
1962-01-10	6	30.3
1962-01-20	2	16.8
1962-01-20	4	21
1962-01-20	6	27
1962-01-26	2	19.5
1962-01-26	4	22.5
1962-01-26	5	23.6
1962-01-26	6	33
1962-02-08	2	19
1962-02-08	4	21.6
1962-02-08	5	26.7
1962-02-08	6	33.6
1962-02-16	2	21
1962-02-16	4	20.7
1962-02-16	5	32
1962-02-16	6	35.5
1962-02-21	2	23.2
1962-02-21	4	27
1962-02-21	5	34.5
1962-02-21	6	39.7
1962-03-05	2	23.2
1962-03-05	4	24.2
1962-03-05	5	25
1962-03-05	6	28.3
1962-03-19	2	27.5
1962-03-19	4	27.5
1962-03-19	5	28.5
1962-03-19	6	36
1962-04-02	2	29.6
1962-04-02	4	30.5
1962-04-02	5	30.8
1962-04-02	6	37.5
1962-04-14	2	30.8
1962-04-14	4	30.5
1962-04-14	5	34
1962-04-14	6	35.8
1962-05-07	2	34
1962-05-07	4	34.2
1962-05-07	5	40.5
1962-05-07	6	39.8
1962-06-05	2	31.5
1962-06-05	4	35.8
1962-06-05	5	37.1
1962-06-05	6	37.9
1962-06-17	2	24.6
1962-06-17	4	26.3
1962-06-17	5	27.6
1962-06-17	6	24.6
1962-07-18	2	6.9
1962-07-18	4	26.7
1962-07-18	6	20.7
1962-08-02	2	10.1
1962-08-02	4	10.6
1962-08-02	6	9.3
