date	day_length
1961-09-05	16.2
1961-09-06	16
1961-09-07	15.7
1961-09-08	15.5
1961-09-09	15.3
1961-09-10	15.1
1961-09-11	14.9
1961-09-12	14.6
1961-09-13	14.4
1961-09-14	14.2
1961-09-15	14
1961-09-16	13.8
1961-09-17	13.6
1961-09-18	13.4
1961-09-19	13.2
1961-09-20	13
1961-09-21	12.8
1961-09-22	12.6
1961-09-23	12.4
1961-09-24	12.2
1961-09-25	12
1961-09-26	11.8
1961-09-27	11.6
1961-09-28	11.4
1961-09-29	11.1
1961-09-30	10.9
1961-10-01	10.7
1961-10-02	10.5
1961-10-03	10.3
1961-10-04	10.1
1961-10-05	9.9
1961-10-06	9.7
1961-10-07	9.5
1961-10-08	9.3
1961-10-09	9.1
1961-10-10	8.8
1961-10-11	8.6
1961-10-12	8.4
1961-10-13	8.2
1961-10-14	7.9
1961-10-15	7.7
1961-10-16	7.5
1961-10-17	7.2
1961-10-18	7
1961-10-19	6.7
1961-10-20	6.5
1961-10-21	6.2
1961-10-22	6
1961-10-23	5.7
1961-10-24	5.4
1961-10-25	5.1
1961-10-26	4.8
1961-10-27	4.5
1961-10-28	4.1
1961-10-29	3.8
1961-10-30	3.4
1961-10-31	2.9
1961-11-01	2.4
1961-11-02	1.7
1961-11-03	0.5
1961-11-04	0
1961-11-05	0
1961-11-06	0
1961-11-07	0
1961-11-08	0
1961-11-09	0
1961-11-10	0
1961-11-11	0
1961-11-12	0
1961-11-13	0
1961-11-14	0
1961-11-15	0
1961-11-16	0
1961-11-17	0
1961-11-18	0
1961-11-19	0
1961-11-20	0
1961-11-21	0
1961-11-22	0
1961-11-23	0
1961-11-24	0
1961-11-25	0
1961-11-26	0
1961-11-27	0
1961-11-28	0
1961-11-29	0
1961-11-30	0
1961-12-01	0
1961-12-02	0
1961-12-03	0
1961-12-04	0
1961-12-05	0
1961-12-06	0
1961-12-07	0
1961-12-08	0
1961-12-09	0
1961-12-10	0
1961-12-11	0
1961-12-12	0
1961-12-13	0
1961-12-14	0
1961-12-15	0
1961-12-16	0
1961-12-17	0
1961-12-18	0
1961-12-19	0
1961-12-20	0
1961-12-21	0
1961-12-22	0
1961-12-23	0
1961-12-24	0
1961-12-25	0
1961-12-26	0
1961-12-27	0
1961-12-28	0
1961-12-29	0
1961-12-30	0
1961-12-31	0
1962-01-01	0
1962-01-02	0
1962-01-03	0
1962-01-04	0
1962-01-05	0
1962-01-06	0
1962-01-07	0
1962-01-08	0
1962-01-09	0
1962-01-10	0
1962-01-11	0
1962-01-12	0
1962-01-13	0
1962-01-14	0
1962-01-15	0
1962-01-16	0
1962-01-17	0
1962-01-18	0
1962-01-19	0
1962-01-20	0
1962-01-21	0
1962-01-22	0
1962-01-23	0
1962-01-24	0
1962-01-25	0
1962-01-26	0
1962-01-27	0
1962-01-28	0
1962-01-29	0
1962-01-30	0
1962-01-31	0
1962-02-01	0
1962-02-02	0
1962-02-03	0
1962-02-04	0
1962-02-05	0
1962-02-06	0
1962-02-07	0
1962-02-08	1.2
1962-02-09	2
1962-02-10	2.6
1962-02-11	3.1
1962-02-12	3.5
1962-02-13	3.9
1962-02-14	4.3
1962-02-15	4.6
1962-02-16	5
1962-02-17	5.3
1962-02-18	5.6
1962-02-19	5.8
1962-02-20	6.1
1962-02-21	6.4
1962-02-22	6.6
1962-02-23	6.9
1962-02-24	7.1
1962-02-25	7.4
1962-02-26	7.6
1962-02-27	7.9
1962-02-28	8.1
1962-03-01	8.3
1962-03-02	8.5
1962-03-03	8.8
1962-03-04	9
1962-03-05	9.2
1962-03-06	9.4
1962-03-07	9.6
1962-03-08	9.9
1962-03-09	10.1
1962-03-10	10.3
1962-03-11	10.5
1962-03-12	10.7
1962-03-13	10.9
1962-03-14	11.1
1962-03-15	11.3
1962-03-16	11.5
1962-03-17	11.7
1962-03-18	11.9
1962-03-19	12.2
1962-03-20	12.4
1962-03-21	12.6
1962-03-22	12.8
1962-03-23	13
1962-03-24	13.2
1962-03-25	13.4
1962-03-26	13.6
1962-03-27	13.8
1962-03-28	14
1962-03-29	14.2
1962-03-30	14.5
1962-03-31	14.7
1962-04-01	14.9
1962-04-02	15.1
1962-04-03	15.3
1962-04-04	15.6
1962-04-05	15.8
1962-04-06	16
1962-04-07	16.2
1962-04-08	16.5
1962-04-09	16.7
1962-04-10	17
1962-04-11	17.2
1962-04-12	17.5
1962-04-13	17.7
1962-04-14	18
1962-04-15	18.3
1962-04-16	18.6
1962-04-17	18.9
1962-04-18	19.2
1962-04-19	19.5
1962-04-20	19.9
1962-04-21	20.2
1962-04-22	20.7
1962-04-23	21.1
1962-04-24	21.7
1962-04-25	22.4
1962-04-26	24
1962-04-27	24
1962-04-28	24
1962-04-29	24
1962-04-30	24
1962-05-01	24
1962-05-02	24
1962-05-03	24
1962-05-04	24
1962-05-05	24
1962-05-06	24
1962-05-07	24
1962-05-08	24
1962-05-09	24
1962-05-10	24
1962-05-11	24
1962-05-12	24
1962-05-13	24
1962-05-14	24
1962-05-15	24
1962-05-16	24
1962-05-17	24
1962-05-18	24
1962-05-19	24
1962-05-20	24
1962-05-21	24
1962-05-22	24
1962-05-23	24
1962-05-24	24
1962-05-25	24
1962-05-26	24
1962-05-27	24
1962-05-28	24
1962-05-29	24
1962-05-30	24
1962-05-31	24
1962-06-01	24
1962-06-02	24
1962-06-03	24
1962-06-04	24
1962-06-05	24
1962-06-06	24
1962-06-07	24
1962-06-08	24
1962-06-09	24
1962-06-10	24
1962-06-11	24
1962-06-12	24
1962-06-13	24
1962-06-14	24
1962-06-15	24
1962-06-16	24
1962-06-17	24
1962-06-18	24
1962-06-19	24
1962-06-20	24
1962-06-21	24
1962-06-22	24
1962-06-23	24
1962-06-24	24
1962-06-25	24
1962-06-26	24
1962-06-27	24
1962-06-28	24
1962-06-29	24
1962-06-30	24
1962-07-01	24
1962-07-02	24
1962-07-03	24
1962-07-04	24
1962-07-05	24
1962-07-06	24
1962-07-07	24
1962-07-08	24
1962-07-09	24
1962-07-10	24
1962-07-11	24
1962-07-12	24
1962-07-13	24
1962-07-14	24
1962-07-15	24
1962-07-16	24
1962-07-17	24
1962-07-18	24
1962-07-19	24
1962-07-20	24
1962-07-21	24
1962-07-22	24
1962-07-23	24
1962-07-24	24
1962-07-25	24
1962-07-26	24
1962-07-27	24
1962-07-28	24
1962-07-29	24
1962-07-30	24
1962-07-31	24
1962-08-01	24
1962-08-02	24
